time elapsed,date,time,magnitude,x,y,z,field control set point,input state
0.1,05/22/2025,14:54:48.818000,6.61225326e-05,-2.58508434e-05,-1.75535533e-05,-5.82734586e-05,9.91e+37,0
0.2,05/22/2025,14:54:48.918000,6.66140198e-05,-2.59608437e-05,-1.87155868e-05,-5.84225045e-05,9.91e+37,0
0.3,05/22/2025,14:54:49.018000,6.68566347e-05,-2.57881196e-05,-2.00059329e-05,-5.83484802e-05,9.91e+37,0
0.4,05/22/2025,14:54:49.118000,6.7167497e-05,-2.5434674e-05,-2.1250798e-05,-5.84204895e-05,9.91e+37,0
0.5,05/22/2025,14:54:49.218000,6.73397538e-05,-2.50869609e-05,-2.26147616e-05,-5.82568399e-05,9.91e+37,0
0.6,05/22/2025,14:54:49.318000,6.75670976e-05,-2.47835159e-05,-2.36042831e-05,-5.82574274e-05,9.91e+37,0
0.7,05/22/2025,14:54:49.418000,6.7472598e-05,-2.48831209e-05,-2.46529391e-05,-5.766814e-05,9.91e+37,0
0.8,05/22/2025,14:54:49.518000,6.59969999e-05,-2.44575185e-05,-2.42467154e-05,-5.62985841e-05,9.91e+37,0
0.9,05/22/2025,14:54:49.618000,6.5864388e-05,-2.51048106e-05,-2.30768028e-05,-5.63500423e-05,9.91e+37,0
1.0,05/22/2025,14:54:49.718000,6.56524612e-05,-2.54326286e-05,-2.19272292e-05,-5.64147471e-05,9.91e+37,0
1.1,05/22/2025,14:54:49.818000,6.55443008e-05,-2.58338934e-05,-2.06631498e-05,-5.65835627e-05,9.91e+37,0
1.2,05/22/2025,14:54:49.918000,6.52126406e-05,-2.60998364e-05,-1.94648663e-05,-5.65031505e-05,9.91e+37,0
1.3,05/22/2025,14:54:50.018000,6.47422225e-05,-2.60678322e-05,-1.82240485e-05,-5.6390669e-05,9.91e+37,0
1.4,05/22/2025,14:54:50.118000,6.44516168e-05,-2.62081033e-05,-1.69049265e-05,-5.64036319e-05,9.91e+37,0
1.5,05/22/2025,14:54:50.218000,6.40358578e-05,-2.60802159e-05,-1.57235146e-05,-5.63310262e-05,9.91e+37,0
1.6,05/22/2025,14:54:50.318000,6.35127296e-05,-2.59888674e-05,-1.43482577e-05,-5.61477791e-05,9.91e+37,0
1.7,05/22/2025,14:54:50.418000,6.36730527e-05,-2.63813095e-05,-1.33470856e-05,-5.63927252e-05,9.91e+37,0
1.8,05/22/2025,14:54:50.518000,6.21362483e-05,-2.61491022e-05,-1.33818871e-05,-5.47545697e-05,9.91e+37,0
1.9,05/22/2025,14:54:50.618000,6.24858597e-05,-2.63088185e-05,-1.45710534e-05,-5.47723756e-05,9.91e+37,0
2.0,05/22/2025,14:54:50.718000,6.32143288e-05,-2.67169917e-05,-1.58344881e-05,-5.50592654e-05,9.91e+37,0
2.1,05/22/2025,14:54:50.818000,6.38626171e-05,-2.70655897e-05,-1.72492076e-05,-5.52118878e-05,9.91e+37,0
2.2,05/22/2025,14:54:50.918000,6.4491603e-05,-2.72337347e-05,-1.86012118e-05,-5.5420984e-05,9.91e+37,0
